Slide_code,Year,Site,meanLi7,meanNa23,meanMg24,meanAl27,meanP31,meanK39,meanMn55,meanFe57,meanCu65,meanZn66,meanRb85,meanSr88,meanBa138
S1A4,2020,Tuapeka Upper,8.825112523968883e-4,16.347866587627994,0.10454728502230015,1.8251443540122787e-4,0.33468360293600685,4.313919550398876,0.026363418126700303,0.041394823485144935,4.919096179898299e-5,0.09022555049197202,6.452640708140709e-4,1.3208269107382247,0.007256353851914244
S1A4,2020,Tuapeka Upper,8.825112523968883e-4,16.347866587627994,0.10454728502230015,1.8251443540122787e-4,0.33468360293600685,4.313919550398876,0.026363418126700303,0.041394823485144935,4.919096179898299e-5,0.09022555049197202,6.452640708140709e-4,1.3208269107382247,0.007256353851914244
S1A4,2020,Tuapeka Upper,8.825112523968883e-4,16.347866587627994,0.10454728502230015,1.8251443540122787e-4,0.33468360293600685,4.313919550398876,0.026363418126700303,0.041394823485144935,4.919096179898299e-5,0.09022555049197202,6.452640708140709e-4,1.3208269107382247,0.007256353851914244
S1A5,2020,Low Burn,6.934907992108249e-4,16.004939920424675,0.06899234504007344,8.203320899134068e-5,0.46324469095528026,3.763539984599016,0.052328953880953,0.04207249085817207,7.603497565928898e-5,0.07812726116398058,3.3668192901763476e-4,1.5171487280121707,0.011910382838586872
S1A6,2020,Coal Creek,9.189461109744423e-4,18.609500136259353,0.14592857047838542,1.1490775216793514e-4,1.2002524452662513,4.749612102885125,0.012372233193343445,0.03791351829569971,6.224216407491532e-5,0.11296595635022352,4.1918654237616345e-4,1.3066868974528911,0.005920464093170627
S1A6,2020,Coal Creek,9.189461109744423e-4,18.609500136259353,0.14592857047838542,1.1490775216793514e-4,1.2002524452662513,4.749612102885125,0.012372233193343445,0.03791351829569971,6.224216407491532e-5,0.11296595635022352,4.1918654237616345e-4,1.3066868974528911,0.005920464093170627
S1A7,2020,Coal Creek,0.0016806426082722613,18.70243286125555,0.0933911524248212,0.003373337907560931,0.3376670580170705,4.604573805245872,0.011440040688981495,0.03593849902335734,4.2488345884343584e-5,0.1253077401600549,3.696981357861814e-4,1.2077207154649112,0.005560422420522892
S1A7,2020,Coal Creek,0.0016806426082722613,18.70243286125555,0.0933911524248212,0.003373337907560931,0.3376670580170705,4.604573805245872,0.011440040688981495,0.03593849902335734,4.2488345884343584e-5,0.1253077401600549,3.696981357861814e-4,1.2077207154649112,0.005560422420522892
S1A7,2020,Coal Creek,0.0016806426082722613,18.70243286125555,0.0933911524248212,0.003373337907560931,0.3376670580170705,4.604573805245872,0.011440040688981495,0.03593849902335734,4.2488345884343584e-5,0.1253077401600549,3.696981357861814e-4,1.2077207154649112,0.005560422420522892
S1A8,2020,Canadian Creek,8.042004163710009e-4,17.321758801923988,0.1868278163004625,1.2792641136664945e-4,1.574518071862799,5.69376549665245,0.022611029120692846,0.03719558236111282,7.670592747955395e-5,0.09077119174294336,8.566980662013917e-4,1.516574854222838,0.007386133995011869
